metal	near_boundary	n_points	dist_threshold	p	sensitivity	coverage
true	true	403	0	5.7958059052888855e-36	0.10558029866387215	0.05529110636794282
true	false	3414	0	5.7958059052888855e-36	0.10558029866387215	0.05529110636794282
false	true	18844	0	5.7958059052888855e-36	0.10558029866387215	0.05529110636794282
false	false	329259	0	5.7958059052888855e-36	0.10558029866387215	0.05529110636794282
true	true	961	1	1.7084246404331805e-64	0.2517684045061567	0.14923743834439807
true	false	2856	1	1.7084246404331805e-64	0.2517684045061567	0.14923743834439807
false	true	50989	1	1.7084246404331805e-64	0.2517684045061567	0.14923743834439807
false	false	297114	1	1.7084246404331805e-64	0.2517684045061567	0.14923743834439807
true	true	1335	2	2.361764075588532e-84	0.34975111343987425	0.21610557794675714
true	false	2482	2	2.361764075588532e-84	0.34975111343987425	0.21610557794675714
false	true	73892	2	2.361764075588532e-84	0.34975111343987425	0.21610557794675714
false	false	274211	2	2.361764075588532e-84	0.34975111343987425	0.21610557794675714
true	true	1577	3	1.3970079232076816e-85	0.41315168980875033	0.27045730717632427
true	false	2240	3	1.3970079232076816e-85	0.41315168980875033	0.27045730717632427
false	true	92570	3	1.3970079232076816e-85	0.41315168980875033	0.27045730717632427
false	false	255533	3	1.3970079232076816e-85	0.41315168980875033	0.27045730717632427
true	true	1754	4	2.6200899302560408e-79	0.45952318574796963	0.31797197955777456
true	false	2063	4	2.6200899302560408e-79	0.45952318574796963	0.31797197955777456
false	true	108933	4	2.6200899302560408e-79	0.45952318574796963	0.31797197955777456
false	false	239170	4	2.6200899302560408e-79	0.45952318574796963	0.31797197955777456
true	true	1898	5	5.469430102380279e-72	0.4972491485459785	0.3603042777568708
true	false	1919	5	5.469430102380279e-72	0.4972491485459785	0.3603042777568708
false	true	123525	5	5.469430102380279e-72	0.4972491485459785	0.3603042777568708
false	false	224578	5	5.469430102380279e-72	0.4972491485459785	0.3603042777568708
true	true	1997	6	7.147285521657239e-60	0.5231857479696096	0.3979511811159341
true	false	1820	6	7.147285521657239e-60	0.5231857479696096	0.3979511811159341
false	true	136531	6	7.147285521657239e-60	0.5231857479696096	0.3979511811159341
false	false	211572	6	7.147285521657239e-60	0.5231857479696096	0.3979511811159341
true	true	2097	7	1.117738879104752e-52	0.5493843332460047	0.43208475652321293
true	false	1720	7	1.117738879104752e-52	0.5493843332460047	0.43208475652321293
false	true	148313	7	1.117738879104752e-52	0.5493843332460047	0.43208475652321293
false	false	199790	7	1.117738879104752e-52	0.5493843332460047	0.43208475652321293
true	true	2173	8	4.066542857558033e-44	0.569295258056065	0.4628744940434297
true	false	1644	8	4.066542857558033e-44	0.569295258056065	0.4628744940434297
false	true	158955	8	4.066542857558033e-44	0.569295258056065	0.4628744940434297
false	false	189148	8	4.066542857558033e-44	0.569295258056065	0.4628744940434297
true	true	2263	9	2.378567524879274e-41	0.5928739848048206	0.4905617015653413
true	false	1554	9	2.378567524879274e-41	0.5928739848048206	0.4905617015653413
false	true	168503	9	2.378567524879274e-41	0.5928739848048206	0.4905617015653413
false	false	179600	9	2.378567524879274e-41	0.5928739848048206	0.4905617015653413
true	true	2324	10	1.9178922384644615e-35	0.6088551218234215	0.515491104644315
true	false	1493	10	1.9178922384644615e-35	0.6088551218234215	0.515491104644315
false	true	177120	10	1.9178922384644615e-35	0.6088551218234215	0.515491104644315
false	false	170983	10	1.9178922384644615e-35	0.6088551218234215	0.515491104644315
