algo	H	rep	time	RSS	peak
my eirene	yes	no	21.478272	8458928128	3514270784
my eirene	yes	yes	58.310602	30764908544	19592541440
og eirene	yes	no	24.134064	11362582528	7072274560
og eirene	yes	yes	59.650283	24586256384	17266672320
ripser	yes	no	23.492	11091968	8323904
ripser	yes	yes	40.84	3684106240	2626975296
ripser.py	yes	no	31.45	2568953856	2543930624
ripser.py sparse	yes	no	18.1	1569558528	1542339968
giotto (10 CPUs)	yes	no	5.34	118841344	88780800
giotto (5 CPUs)	yes	no	12.71	117075968	86929280
ripser++	yes	no	0.98	1352436	
gudhi.py	yes	no	34.65	10614132736	10617071168
ripserer.jl	yes	yes	37.73	4614340608	2726553920
ripserer.jl alpha	yes	yes	3.17	1302462464	998625536
