domain	disorder_bin	n_proteins	avg_richness	sd_richness
A	high (70-80)	651873	0.0007888490264833673	0.0017561131359249006
A	low (pLDDT>90)	2479054	8.955873622953609e-05	0.0006716422886366718
A	medium (80-90)	1844979	0.0003038990532681257	0.0010549870251255209
B	high (70-80)	15412185	0.0010302168496262162	0.001911595279182674
B	low (pLDDT>90)	64181961	8.621196981213993e-05	0.0006040280388752669
B	medium (80-90)	51162185	0.00033458353588138766	0.0010254725784277494
E	high (70-80)	11222184	0.0020560156809824775	0.0022550641123490656
E	low (pLDDT>90)	7893004	0.00021549109778108239	0.001049110382158602
E	medium (80-90)	12131999	0.0006783438385754595	0.0013993265345476418
